,coords,label
10,"[ 0.64725846  0.78613049 -0.00000145  0.5173068   0.82113409 -0.22982228
  0.47981781  0.76439029 -0.42451462  0.52176297  0.62009901 -0.56346619
  0.59468234  0.47056377 -0.70586485  0.45260561  0.8315202  -0.65770555
  0.44647235  0.71662372 -0.88742709  0.46323386  0.57681262 -0.99874341
  0.48711953  0.45248181 -1.06982386  0.55392849  0.75743163 -0.62220293
  0.57329923  0.56602985 -0.87260145  0.56057471  0.4438417  -0.98066658
  0.54490817  0.38066712 -1.06774151  0.66359413  0.67528737 -0.57898092
  0.68058097  0.48999274 -0.81909651  0.65975702  0.39878622 -0.93417794
  0.61842221  0.34632549 -1.00989032  0.75451928  0.60214102 -0.53733778
  0.78191882  0.45207211 -0.74429816  0.76000142  0.36186334 -0.86177355
  0.73990774  0.29118264 -0.95043141]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
11,"[ 0.47043148  0.88834214  0.00000225  0.5470795   0.86875677 -0.15991513
  0.53806901  0.77738243 -0.24485724  0.46492723  0.68520355 -0.30495313
  0.38322785  0.58403134 -0.3603797   0.56009632  0.60183012 -0.21217564
  0.51640123  0.45126799 -0.32604161  0.48261538  0.34631664 -0.39288285
  0.45215535  0.24991691 -0.43343601  0.48008564  0.60250771 -0.18136182
  0.49585846  0.42143494 -0.3179214   0.49416935  0.30728132 -0.37961388
  0.49246445  0.19438863 -0.40351826  0.40276527  0.64179945 -0.15974835
  0.34504139  0.57963628 -0.31639108  0.3769781   0.71384329 -0.31581706
  0.42168331  0.7889058  -0.27504286  0.34390578  0.70100224 -0.14767706
  0.29627773  0.69296753 -0.27772847  0.34406981  0.78802276 -0.2771835
  0.39324483  0.83281749 -0.24727443]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0. 0. 0.]"
12,"[ 0.7829141   0.76788634  0.0000006   0.75415123  0.59642678 -0.14191991
  0.65374732  0.47842035 -0.18946628  0.52526355  0.43780777 -0.22057731
  0.40796214  0.42990926 -0.23796508  0.47676104  0.5095256  -0.04152581
  0.31405902  0.51599407 -0.12508379  0.21460921  0.51289439 -0.17706054
  0.1219537   0.50251448 -0.20656429  0.46571115  0.61782223 -0.00999918
  0.34160119  0.62748092 -0.13283429  0.47563297  0.64720923 -0.17400232
  0.54676539  0.6376884  -0.16709031  0.47377834  0.71105927 -0.0026534
  0.36863634  0.73106813 -0.13913594  0.50335145  0.73288786 -0.15082404
  0.55525941  0.705338   -0.11872862  0.48426437  0.79119754 -0.00722643
  0.4207648   0.8039999  -0.10619861  0.51278281  0.8047002  -0.11880934
  0.55726147  0.78166223 -0.10280237]","[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
13,"[ 0.81648302  0.71043694 -0.00000011  0.81988478  0.58923435 -0.04914505
  0.70344323  0.47450727 -0.06782555  0.59142202  0.42751235 -0.08406584
  0.5092541   0.39061171 -0.09808172  0.51804888  0.527632   -0.06046027
  0.3655836   0.50676197 -0.11426141  0.26971108  0.49563807 -0.14623289
  0.17994511  0.49399444 -0.171019    0.49731046  0.61008084 -0.06580212
  0.49316722  0.53388667 -0.14265108  0.61645406  0.54054248 -0.15705633
  0.65267038  0.57136101 -0.15403575  0.51119119  0.69271171 -0.0773114
  0.5416835   0.60770953 -0.16644473  0.65754509  0.61688387 -0.15154774
  0.67273307  0.64989084 -0.12442739  0.53960627  0.77552897 -0.09176392
  0.57034558  0.68963766 -0.15662809  0.65750265  0.68583775 -0.14418259
  0.66907251  0.7151019  -0.12408547]","[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
14,"[ 0.83203626  0.67688853  0.00000012  0.84471011  0.52756631 -0.06449255
  0.71015954  0.38124958 -0.08290779  0.5898062   0.30613303 -0.09574337
  0.48845926  0.27367458 -0.11155339  0.53076452  0.43988624 -0.07908393
  0.35301715  0.4081496  -0.14146903  0.22788122  0.39418161 -0.18164717
  0.12451187  0.39056948 -0.21107382  0.51585805  0.55250138 -0.08049624
  0.44214293  0.52943277 -0.19794585  0.59270984  0.54428428 -0.23081313
  0.70369488  0.55970335 -0.22555536  0.52521348  0.66537774 -0.08681904
  0.45597309  0.64706516 -0.20653246  0.61450553  0.64501518 -0.19298457
  0.72212678  0.64700323 -0.15242684  0.5517289   0.77991748 -0.09624278
  0.50637603  0.76014763 -0.1924196   0.62577057  0.7427271  -0.18374845
  0.70866799  0.72994477 -0.15358762]","[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
15,"[ 0.46300423  0.92632049  0.00000094  0.61179787  0.83176565 -0.03731811
  0.66118771  0.69055551 -0.01863303  0.58420748  0.56595653  0.00641435
  0.49415404  0.52633202  0.02992804  0.63632089  0.58038998  0.02804738
  0.67255074  0.42457476  0.03473589  0.68517649  0.32909596  0.03062566
  0.69170105  0.24139473  0.02318504  0.54371405  0.56008959  0.02806282
  0.5618698   0.38539767  0.02793476  0.56092137  0.27271602  0.0090828
  0.56660038  0.17459345 -0.00317412  0.4557125   0.56983936  0.02080697
  0.44182169  0.40105093 -0.0165164   0.43204817  0.29964429 -0.06287351
  0.43134204  0.21078211 -0.08943775  0.36325344  0.6163969   0.01285045
  0.3588315   0.4990654  -0.02871164  0.38320452  0.55436617 -0.03426082
  0.41201273  0.63465863 -0.03247071]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0.]"
16,"[ 0.31750816  0.80647624  0.00000084  0.46833527  0.76275408 -0.00466011
  0.58705258  0.68197012 -0.03815269  0.6847434   0.6417129  -0.08272121
  0.78722346  0.62935168 -0.13117859  0.49059129  0.45256266 -0.04576025
  0.6059469   0.36544061 -0.11831336  0.70813268  0.36570117 -0.17288648
  0.79618919  0.3882786  -0.21024755  0.43623596  0.44983366 -0.09015339
  0.58797759  0.34209323 -0.16649354  0.70712781  0.35495248 -0.21560167
  0.79892564  0.39203784 -0.24616291  0.39011949  0.47976303 -0.13807975
  0.53411359  0.36392617 -0.20896146  0.65942371  0.36490944 -0.24493293
  0.75910378  0.39004689 -0.26439688  0.35712984  0.539253   -0.18631154
  0.46321926  0.45457834 -0.24717632  0.55951661  0.43042034 -0.27586985
  0.64339924  0.42978385 -0.29293725]","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
17,"[ 0.81063712  0.76721084  0.00000027  0.8322587   0.6183846  -0.09033522
  0.70103115  0.47240657 -0.12234569  0.57024992  0.39304596 -0.14215097
  0.45440769  0.39448452 -0.16580009  0.51468605  0.53567266 -0.11111388
  0.33959186  0.51030767 -0.18623534  0.20648831  0.49842486 -0.23762059
  0.09684262  0.50044668 -0.27358344  0.49247086  0.65278471 -0.09831978
  0.42411232  0.65184498 -0.22561389  0.58271706  0.67088389 -0.25609589
  0.699516    0.68346232 -0.24629216  0.50104034  0.77015895 -0.0925049
  0.44498062  0.772268   -0.22493975  0.60757899  0.76657504 -0.20941491
  0.71720302  0.76254433 -0.1640031   0.52765185  0.88494122 -0.0907121
  0.49212915  0.88397563 -0.19723396  0.61761582  0.86570513 -0.18706723
  0.69856358  0.84591651 -0.15319583]","[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
18,"[ 0.59763038  0.85621047 -0.00000079  0.67183101  0.8187663  -0.22900063
  0.73293048  0.69650865 -0.44065711  0.75032306  0.50395703 -0.60108453
  0.74152255  0.32205084 -0.76648128  0.6026305   0.8130613  -0.66010135
  0.65901917  0.64612055 -0.89993411  0.7060768   0.50030035 -1.0280838
  0.71669364  0.37788644 -1.11140049  0.52864009  0.77641171 -0.64283848
  0.58084226  0.54485554 -0.90022647  0.60991478  0.43030798 -1.00478101
  0.60553521  0.3848528  -1.09079337  0.47438619  0.73835766 -0.61979246
  0.49968618  0.51716936 -0.84916776  0.54070753  0.43281958 -0.93136334
  0.54361588  0.40714681 -0.99006373  0.42357123  0.70110399 -0.60498029
  0.43500513  0.54839349 -0.79515797  0.4520227   0.47940964 -0.88303435
  0.46265805  0.44300371 -0.95612615]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0.]"
19,"[ 0.51039612  0.91319883  0.00000029  0.62305653  0.85782778 -0.06960532
  0.70379466  0.75691485 -0.11333513  0.73608798  0.66826284 -0.15860295
  0.70598203  0.58794355 -0.19878565  0.6645326   0.53972763 -0.04781864
  0.70264149  0.41401207 -0.14379863  0.70848018  0.46280891 -0.22012259
  0.69508159  0.52814627 -0.2558454   0.58812982  0.50955784 -0.05672736
  0.60491174  0.32564467 -0.11009003  0.60509115  0.21148703 -0.15876509
  0.60080409  0.10382709 -0.19126962  0.5100646   0.52486742 -0.08100463
  0.52201635  0.35231426 -0.12824604  0.52655989  0.24181294 -0.16108645
  0.53210562  0.13952368 -0.18078226  0.42548501  0.5736317  -0.11359138
  0.43269515  0.44273618 -0.14534247  0.4393881   0.35514104 -0.15354773
  0.44986433  0.27238679 -0.15713614]","[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
20,"[ 0.62128782  0.90499365  0.0000008   0.75952417  0.81114423 -0.04830053
  0.80792618  0.66247433 -0.03537692  0.76640296  0.55291718 -0.02290786
  0.71974695  0.48005798 -0.00665356  0.77774054  0.57416928  0.03202289
  0.79664463  0.44141218  0.01431559  0.79939157  0.35202751  0.00281608
  0.79390717  0.27546054 -0.00377068  0.69532692  0.57028228  0.02970081
  0.68292916  0.40336579 -0.01210944  0.67624909  0.2993972  -0.04315309
  0.66490644  0.20839959 -0.05183443  0.61405599  0.60668522  0.01694503
  0.60726368  0.53431511 -0.07397607  0.62373877  0.64608121 -0.09314908
  0.63157707  0.69925213 -0.07198629  0.52819562  0.65720123  0.00261057
  0.53662276  0.59466952 -0.06786209  0.55539721  0.67391908 -0.06787927
  0.56245446  0.7093156  -0.04901825]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
21,"[ 0.81870365  0.68007481  0.00000078  0.81523061  0.54865706 -0.05568886
  0.70955288  0.43413973 -0.0650235   0.61577916  0.37865761 -0.07418119
  0.55031723  0.33061957 -0.079234    0.54048431  0.46094027 -0.03790043
  0.39782026  0.43607318 -0.0826026   0.30615041  0.42460606 -0.10612985
  0.22482085  0.42089653 -0.1181783   0.50793386  0.54232299 -0.0460119
  0.33873332  0.5074327  -0.10711738  0.22630146  0.48047009 -0.14045353
  0.13040537  0.46689111 -0.14911075  0.51321262  0.62848067 -0.06163842
  0.49732122  0.56886476 -0.16093287  0.60986143  0.56188869 -0.17895588
  0.68448663  0.57147205 -0.15681414  0.5429641   0.71388483 -0.08069129
  0.56497753  0.64911699 -0.16078918  0.65482336  0.6346913  -0.16823713
  0.71444434  0.63874841 -0.15089981]","[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
22,"[ 0.79778844  0.70853472 -0.00000022  0.81926084  0.56303775 -0.04542275
  0.77173281  0.42321315 -0.04077352  0.68480217  0.32066375 -0.03749403
  0.64309436  0.23821826 -0.03156268  0.7002601   0.36754695  0.03933754
  0.60662287  0.25758457  0.0074044   0.52099425  0.20261239 -0.01707766
  0.45298171  0.16405804 -0.03299823  0.64993298  0.4372977   0.04433577
  0.55843341  0.36121663 -0.03233688  0.61706859  0.42578116 -0.06817735
  0.68058038  0.48039788 -0.06583171  0.61265385  0.51249766  0.03938631
  0.54606634  0.46893105 -0.04593023  0.62732327  0.53691149 -0.05244306
  0.69132811  0.57988393 -0.02576421  0.58128572  0.5951376   0.03133511
  0.5282225   0.55478966 -0.02694513  0.59373653  0.60009593 -0.02452144
  0.64725637  0.62680328 -0.00308808]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 1.]"
23,"[ 0.31359234  0.78003997  0.0000008   0.46443248  0.75587326  0.01191978
  0.58053154  0.679766   -0.01420823  0.67453754  0.63996595 -0.05657255
  0.7751013   0.63266075 -0.1040232   0.49136487  0.45058742 -0.02112937
  0.60090131  0.35898322 -0.08323142  0.69891173  0.35588068 -0.13073547
  0.78330201  0.37705305 -0.16546176  0.43917206  0.44550443 -0.07662289
  0.58349156  0.33074492 -0.14480968  0.70004284  0.33554915 -0.18998185
  0.78880382  0.37027192 -0.22008546  0.39171422  0.4670701  -0.13588575
  0.53650004  0.3468616  -0.20254827  0.65983593  0.34818864 -0.23621525
  0.75697434  0.37328437 -0.25646192  0.35848287  0.51496363 -0.19467728
  0.47521201  0.43605134 -0.25658751  0.57221359  0.4138135  -0.28714749
  0.65485311  0.41060105 -0.30717632]","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
24,"[ 0.43087983  0.69124365  0.00000134  0.58604819  0.68571204 -0.02829918
  0.71676862  0.61724693 -0.05086825  0.8068791   0.55712253 -0.07740705
  0.84559286  0.48098427 -0.10372705  0.63602048  0.37453848 -0.04502472
  0.68428797  0.32186165 -0.10414384  0.77201349  0.36072814 -0.14484395
  0.82431585  0.4286716  -0.16832526  0.57629591  0.353001   -0.06593355
  0.64010155  0.28027529 -0.13487229  0.74026215  0.33289117 -0.17736697
  0.79112446  0.41892168 -0.20019968  0.51530772  0.36846304 -0.09218479
  0.58497417  0.28625947 -0.16538949  0.68799359  0.35119954 -0.19817339
  0.74247944  0.44046521 -0.20918977  0.45335084  0.41584322 -0.11983013
  0.54615462  0.37018025 -0.18156414  0.63581449  0.41369027 -0.20547818
  0.69052202  0.48207507 -0.21465689]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
25,"[ 0.53836721  0.72240329 -0.00000072  0.67275929  0.59729898 -0.06223587
  0.68929088  0.42886445 -0.08590546  0.57999903  0.30046791 -0.10930375
  0.50327945  0.19311774 -0.12118556  0.68412149  0.33419728  0.00604642
  0.73386276  0.21020514 -0.09094232  0.71928054  0.30075756 -0.15118344
  0.69469136  0.40574846 -0.17053469  0.58304471  0.33396843  0.00219958
  0.6137988   0.15629737 -0.09480081  0.61405641  0.2694087  -0.12899415
  0.61143064  0.3847979  -0.11949667  0.47284928  0.35846883 -0.01903957
  0.49959674  0.26865631 -0.12237138  0.52986228  0.41118604 -0.11596104
  0.53402728  0.50799596 -0.07412072  0.35471579  0.4048031  -0.04386947
  0.39975601  0.32584238 -0.09966961  0.43884295  0.42107898 -0.07137904
  0.43875566  0.48577696 -0.03017346]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
26,"[ 0.4176501   0.93317461  0.00000051  0.51310915  0.87266695 -0.10365476
  0.61593682  0.79002345 -0.16669801  0.73913991  0.74529386 -0.22521405
  0.83625585  0.73886377 -0.28147367  0.55294782  0.56990004 -0.08011173
  0.5545882   0.4152773  -0.14368366  0.54320472  0.30641222 -0.18064187
  0.5325411   0.22216818 -0.20369454  0.4592526   0.57745904 -0.05931692
  0.40823242  0.52087176 -0.14592429  0.41913268  0.65192938 -0.157129
  0.45154113  0.70290875 -0.14132239  0.36908764  0.59395713 -0.05207998
  0.32578257  0.53587073 -0.13167021  0.34591645  0.64450186 -0.11005161
  0.37869757  0.69493979 -0.07169969  0.28624296  0.61985868 -0.05610649
  0.239264    0.56218857 -0.10734583  0.26611102  0.63141191 -0.08916271
  0.30496854  0.6780206  -0.05776393]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
27,"[ 0.78496134  0.68967676 -0.00000021  0.81556761  0.55443305 -0.04744285
  0.76574266  0.40707666 -0.05173004  0.67423987  0.30754435 -0.05634924
  0.63479578  0.22008349 -0.06089699  0.68915951  0.35250229  0.00698162
  0.5935297   0.24518798 -0.02684702  0.51117897  0.19126727 -0.04696256
  0.44511282  0.15240954 -0.06106564  0.63807356  0.41863462  0.00884696
  0.55433595  0.35125408 -0.06939463  0.61024201  0.41794229 -0.09587381
  0.6704585   0.47443295 -0.08896133  0.60062563  0.49563885  0.00278467
  0.53221369  0.45507717 -0.0842211   0.61310667  0.52398849 -0.07912251
  0.67719829  0.56599885 -0.04700545  0.57165855  0.58241785 -0.00620911
  0.51568323  0.54645056 -0.06965286  0.58495337  0.59210253 -0.0621075
  0.64144069  0.61905479 -0.03751531]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 1.]"
